country,year,industry,service,gdp
CHN,2000,24.6470198851309,25.3134188486432,2237.44298500334
CHN,2001,22.2999534859973,27.7000389321993,2405.89396743215
CHN,2002,21.4001070576635,28.5998919404385,2610.72960252379
CHN,2003,21.6000317879629,29.3004810570726,2857.0373538115
CHN,2004,22.4994633352348,30.6002920912406,3127.86276523632
CHN,2005,23.8000197014041,31.3997915890731,3465.81734409951
CHN,2006,25.1993927171682,32.2001132949176,3883.35412942474
CHN,2007,26.799965080269,32.4000001442606,4409.75700836878
CHN,2008,27.1998176284931,33.2001114321863,4811.47471804961
CHN,2009,27.8001237336841,34.0999915084727,5237.76666540352
CHN,2010,28.6998228439976,34.5995667971914,5764.86534987407
CHN,2011,29.5001327749191,35.7000783844491,6275.90956436258
CHN,2012,30.2995918411543,36.0998140108212,6723.19443752823
CHN,2013,30.099901194464,38.4998131034926,7198.06876478162
CHN,2014,29.9004572371177,40.5990776614307,7686.57792954381
CHN,2015,29.2998175326072,42.3997107404935,8175.33285077393
CHN,2016,29.6444492814543,42.9334259446319,8679.37704460133
CHN,2017,29.9706060456204,43.3458036346466,9221.51403820573
CHN,2018,30.3637847933889,43.8847198791517,9798.6528523316
CHN,2019,30.7587386897164,44.5192735154599,10356.4804194995
CHN,2020,31.1322866175828,45.2678537038915,10573.6420059282
CHN,2021,31.5342449659426,45.5969845625275,11469.5707134928
CHN,2022,30.9312938882327,44.9886051327682,11830.5983703496
CHN,2023,31.4267217641686,45.7723935112505,12484.1578844175
CHN,2024,31.6324437528704,46.1510599840955,13121.6769905565
DEU,1995,36.0043335918813,60.825491294381,32007.145402934
DEU,1996,35.2720577200735,61.793156945123,32245.8608379557
DEU,1997,34.6736031282961,62.3841933098285,32795.7833455165
DEU,1998,34.3901573330689,62.8299090812909,33477.9856458764
DEU,1999,33.8350510790984,63.3010408447704,34168.8308210083
DEU,2000,33.5310714327787,63.8313975547448,35104.1308467844
DEU,2001,32.7815599937358,64.6024582575336,35618.5143698493
DEU,2002,32.3668135625331,65.1460791136525,35477.5151544301
DEU,2003,31.3777391883868,66.1976256285298,35270.0227284267
DEU,2004,31.2532116993414,66.3916331203167,35687.6378708542
DEU,2005,29.8396164797777,67.834590380863,36024.0947047021
DEU,2006,29.8531977539054,67.6353506671821,37459.261328042
DEU,2007,30.3601084856613,67.3476213975735,38593.0749910508
DEU,2008,29.3313900595113,69.0449881138914,39009.8477636357
DEU,2009,28.8260606145451,69.531812060413,36940.4078672661
DEU,2010,28.7571845440313,69.6245128783923,38526.7371042695
DEU,2011,27.6642517502902,70.6143963040454,40722.4849268242
DEU,2012,28.1974895392439,70.228668900092,40834.5088218456
DEU,2013,27.7258458848951,70.8152094828411,40884.8926759028
DEU,2014,28.0851666953054,70.4767257159076,41602.4661281668
DEU,2015,27.6242257343991,70.9759853455225,41929.7549110722
DEU,2016,27.33707604136,71.3556858152454,42516.9337063103
DEU,2017,27.408028435384,71.3142217227741,43543.4807050551
DEU,2018,27.3456982131664,71.3851925415178,43905.8550061973
DEU,2019,27.1495116563958,71.6630846015593,44235.2658954682
DEU,2020,27.2304940804705,71.6559512297747,42372.8726784255
DEU,2021,27.3811673985671,71.4070006981136,44011.0194631674
DEU,2022,26.7742975854336,71.9534438323531,44817.1316331389
DEU,2023,26.3957028467134,72.3926155732498,44368.9920074881
DEU,2024,26.2904809714931,72.6164237512878,44027.7631554469
ESP,1995,30.2041319077503,60.808780188059,20217.9031940372
ESP,1996,29.4670999713718,62.1733657086629,20658.8402775701
ESP,1997,29.9125221249099,62.0433053779701,21310.4311888986
ESP,1998,30.5092934196163,61.79139354371,22135.4045018802
ESP,1999,30.6781932885504,62.1144893095672,23017.838771323
ESP,2000,30.8281410395935,62.4838984291193,24106.8818529374
ESP,2001,31.4599879237383,61.9855620176141,24878.3784543991
ESP,2002,31.0388725439958,62.9570766193983,25205.3154769045
ESP,2003,30.7141429442928,63.5809735399694,25481.1653690112
ESP,2004,30.206801683902,64.3088143825192,25825.3106463315
ESP,2005,29.5704520018389,65.1301841353961,26294.447384391
ESP,2006,29.2349753796888,65.8514009199363,26899.0921497113
ESP,2007,29.1120099225606,66.5261873994802,27338.79541774
ESP,2008,27.621534531469,68.4673753987186,27112.526293889
ESP,2009,24.4868392138009,71.469398607505,25860.8142592652
ESP,2010,23.1908207515852,72.7066952742291,25766.2515825743
ESP,2011,21.4298591545065,74.7253735748109,25510.5579678829
ESP,2012,20.6351748786047,75.1187528613923,24763.568274484
ESP,2013,20.1180749634228,75.5474729131241,24498.5559507945
ESP,2014,19.1907210217164,76.5418960109216,24947.8512505913
ESP,2015,20.305933331881,75.7060906775321,25982.4416197775
ESP,2016,19.6925670261092,76.1281299996035,26719.2442268615
ESP,2017,20.0374504207321,75.6517057697514,27426.281015093
ESP,2018,20.2705372656542,75.6601391330433,27956.7225466484
ESP,2019,20.4638910433777,75.4222925376582,28301.4393949563
ESP,2020,20.8081756219012,75.2867523731049,25077.019882928
ESP,2021,20.6717905876913,75.2528246563399,26705.3629138959
ESP,2022,20.4607305338674,75.5247361367108,28203.1093419474
ESP,2023,20.0267520644379,76.475420743869,28558.6319817501
ESP,2024,20.0916194737731,76.4350749196344,29245.2192451729
FRA,1995,27.1020184674312,68.260189597267,29379.6158424052
FRA,1996,26.6661654867392,68.7597968480533,29683.7786067651
FRA,1997,26.7184557186822,68.8849652033967,30325.522871824
FRA,1998,26.4523028147416,69.3650226306825,31256.5073830655
FRA,1999,26.4157543037987,69.5609751577427,32152.7207478734
FRA,2000,26.3850401291446,69.6863818634834,33255.1379642335
FRA,2001,26.167381209741,69.9744282120942,33640.6738002565
FRA,2002,25.5159289337732,70.5668579693157,33753.5782979758
FRA,2003,24.257251041848,71.7087582510915,33840.6175720101
FRA,2004,24.3843754346763,71.9446864463875,34557.1471111581
FRA,2005,24.0649071274019,72.3587950066235,34946.0372494703
FRA,2006,24.1382876198395,72.2083077311103,35645.4162427116
FRA,2007,23.5460210579727,73.0427238647503,36322.1685141004
FRA,2008,23.2664984297317,73.9739571859445,36257.3658930938
FRA,2009,22.6822594314255,74.3685450121943,35052.8510772683
FRA,2010,22.2786779645648,74.8050250143304,35578.1968010183
FRA,2011,22.1859074981925,74.884736451294,36269.9561530888
FRA,2012,21.7779972462666,75.2867993899041,36161.2918253465
FRA,2013,21.3053237692525,75.6199828774531,36256.086680981
FRA,2014,20.5331886436257,76.6214791222821,36444.3949089146
FRA,2015,20.3760439673531,76.8790308927203,36702.4323733379
FRA,2016,20.2938126069055,76.8342900560552,36920.5342846914
FRA,2017,20.4110220188657,76.9833082622692,37580.5979329356
FRA,2018,20.2326732273394,77.2706775622299,38062.4435961412
FRA,2019,20.39200271718,77.092702342475,38705.2072940618
FRA,2020,19.9647820525018,77.6851732713273,35709.2045925926
FRA,2021,19.5148151862004,77.9703526602748,38030.8571685178
FRA,2022,19.274886618314,78.1325704924034,38868.3303330557
FRA,2023,19.245754578992,78.2487367442902,39319.4152227295
FRA,2024,19.5436001329131,78.0650150968351,39683.3953489029
IND,1995,15.0004830062333,23.0250885170126,620.699954330379
IND,1996,15.2712590554772,23.2153600889989,654.355928429641
IND,1997,15.4726082964194,23.3687662577929,667.598423095039
IND,1998,15.7949095027609,23.5571330359981,695.293709344799
IND,1999,16.309428466053,23.8125410413714,742.53920839445
IND,2000,16.341359744203,24.0513301566929,756.704109527449
IND,2001,16.7528345033409,24.356356017476,778.507377528365
IND,2002,17.0567268841005,24.7354169170179,793.615912906381
IND,2003,17.6938066486046,25.1415353719471,841.278894571674
IND,2004,18.4184794843161,25.5820631919076,892.596614581612
IND,2005,19.0012317655898,25.9783149220993,947.732565646672
IND,2006,19.5238914291204,26.20309067095,1008.23275343783
IND,2007,20.3219145451672,26.309209260168,1069.24696813025
IND,2008,20.751447752882,26.3693638512179,1086.50605251513
IND,2009,21.5635579497653,26.4920231164018,1155.10163274172
IND,2010,22.3778888372942,26.5660351341417,1235.15939133951
IND,2011,23.5473821255696,27.3773195279181,1281.61054354933
IND,2012,24.6920379635984,28.2198150791246,1333.09626557668
IND,2013,24.7546738405335,29.0034439664578,1399.4537980287
IND,2014,24.8960152022282,29.8492736825481,1484.31640682913
IND,2015,24.9480704919335,30.7722358188634,1583.99815907985
IND,2016,25.1894783758453,31.6056633714195,1694.46534973825
IND,2017,25.2657227336051,32.4671651415297,1788.69770318446
IND,2018,25.3658737784355,33.3391272966505,1883.35772705062
IND,2019,25.251113046721,34.0970739669082,1936.03067741067
IND,2020,23.7036475318516,31.6208572724385,1806.50110583878
IND,2021,24.4704786231875,31.4503271149612,1965.30943437506
IND,2022,26.1203341573875,31.0186666923037,2098.2112447615
IND,2023,25.0292115986201,31.4572072768006,2270.9051808027
IND,2024,25.3709259711612,32.2743097449178,2396.94999213544
ITA,1995,33.6616465989089,59.7553412835831,29408.3209572297
ITA,1996,33.3508836338945,60.5201732273603,29795.6597750915
ITA,1997,32.6279638002699,61.4914326497287,30353.3778243995
ITA,1998,32.7293499436331,61.5048766039765,30892.1758654455
ITA,1999,32.376483589142,62.2022934260663,31405.2609007683
ITA,2000,31.7896080433024,62.9785384229918,32609.66746283
ITA,2001,31.7381196544233,63.0516886669367,33243.599343976
ITA,2002,31.5989606653441,63.475684310328,33267.4474482048
ITA,2003,31.758610847801,63.5253959022529,33110.1698494812
ITA,2004,30.8375742184165,65.0255208419331,33348.9744820456
ITA,2005,30.6842044729015,65.117483790243,33407.6754716472
ITA,2006,30.0505488871033,65.6768696095385,33873.0493680093
ITA,2007,30.1311753359102,65.9017762963661,34159.9109244074
ITA,2008,29.8006127959281,66.5003066718546,33550.6340800063
ITA,2009,29.2387769316038,67.0704802264505,31587.0638416305
ITA,2010,28.6090864312854,67.6227259610388,31928.5543621096
ITA,2011,28.288565115164,68.030685989836,32039.5032494316
ITA,2012,27.5823388742971,68.725189348861,30953.4147447427
ITA,2013,27.0469862441215,69.3516758233459,30330.0221599668
ITA,2014,26.9014262686335,69.4555366858576,30325.0287793923
ITA,2015,26.6003076184765,69.6483296752598,30639.8829751432
ITA,2016,26.1223306249753,69.9932195229982,31077.6792675211
ITA,2017,26.002784855533,70.2144001191583,31635.52277108
ITA,2018,26.0910605032816,70.1698419626902,31819.3971830067
ITA,2019,25.8869321079455,70.2347505303616,32180.4341017428
ITA,2020,26.4217472407176,69.5666378030234,29469.7989238626
